year,subject_category,school_code,school_name,special_group,sg_name,sg_info,min_score,min_rank,source_url
2024,历史类,0306,中国民用航空飞行学院,0306-01,01,首选历史，再选不限,528,27732,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,0306,中国民用航空飞行学院,0306-02,02,首选历史，再选思想政治,547,19543,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1101,南京大学,1101-03,03,首选历史，再选不限,638,401,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1102,东南大学,1102-03,03,首选历史，再选不限,629,798,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1103,南京航空航天大学,1103-01,01,首选历史，再选不限,605,3225,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1104,南京理工大学,1104-01,01,首选历史，再选不限,602,3681,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1105,河海大学,1105-01,01,首选历史，再选不限,601,3855,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1105,河海大学,1105-02,02,首选历史，再选不限,596,4751,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1105,河海大学,1105-03,03,首选历史，再选思想政治,600,4028,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1106,南京信息工程大学,1106-01,01,首选历史，再选不限,582,7859,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1106,南京信息工程大学,1106-02,02,首选历史，再选思想政治,585,7092,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1106,南京信息工程大学,1106-03,03,首选历史，再选不限,557,15653,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1107,南京农业大学,1107-01,01,首选历史，再选不限,587,6638,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1108,南京师范大学,1108-05,05,首选历史，再选不限,622,1260,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1108,南京师范大学,1108-06,06,首选历史，再选不限,617,1700,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1108,南京师范大学,1108-07,07,首选历史，再选不限,597,4550,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1108,南京师范大学,1108-08,08,首选历史，再选不限,574,10080,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1108,南京师范大学,1108-09,09,首选历史，再选不限,585,7092,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1108,南京师范大学,1108-10,10,首选历史，再选思想政治,609,2654,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1108,南京师范大学,1108-11,11,首选历史，再选地理,606,3067,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1109,中国药科大学,1109-01,01,首选历史，再选不限,585,7092,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1110,南京工业大学,1110-02,02,首选历史，再选不限,562,13908,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1111,南京邮电大学,1111-02,02,首选历史，再选不限,572,10689,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1112,南京医科大学,1112-01,01,首选历史，再选不限,563,13578,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1113,南京中医药大学,1113-01,01,首选历史，再选不限,559,14929,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1113,南京中医药大学,1113-02,02,首选历史，再选不限,525,29083,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1114,南京工程学院,1114-01,01,首选历史，再选不限,541,22031,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1114,南京工程学院,1114-02,02,首选历史，再选不限,523,29991,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1115,南京林业大学,1115-01,01,首选历史，再选不限,579,8655,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1115,南京林业大学,1115-02,02,首选历史，再选不限,561,14231,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1115,南京林业大学,1115-03,03,首选历史，再选生物,551,17923,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
2024,历史类,1116,南京财经大学,1116-01,01,首选历史，再选不限,586,6866,https://www.jseea.cn/webfile/upload/2024/07-18/09-11-430408314109108.xls
