year,subject_category,school_code,school_name,special_group,sg_name,sg_info,min_score,min_rank,source_url
2024,物理类,0105,陆军工程大学,0105-06,06,首选物理，再选不限,594,35656,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0105,陆军工程大学,0105-07,07,首选物理，再选化学,596,33980,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0131,海军军医大学,0131-04,04,首选物理，再选化学,595,34819,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0131,海军军医大学,0131-05,05,首选物理，再选化学,607,25605,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0131,海军军医大学,0131-06,06,首选物理，再选化学,624,15117,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0201,中国人民公安大学,0201-08,08,首选物理，再选不限,618,18490,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0203,中国人民警察大学,0203-08,08,首选物理，再选不限,560,69269,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0203,中国人民警察大学,0203-09,09,首选物理，再选化学,556,73918,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0203,中国人民警察大学,0203-10,10,首选物理，再选思想政治,559,70429,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0306,中国民用航空飞行学院,0306-04,04,首选物理，再选不限,543,89635,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0306,中国民用航空飞行学院,0306-05,05,首选物理，再选化学,552,78655,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,0306,中国民用航空飞行学院,0306-06,06,首选物理，再选思想政治,544,88414,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,1101,南京大学,1101-07,07,首选物理，再选不限,661,2296,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,1101,南京大学,1101-08,08,首选物理，再选化学,667,1405,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,1101,南京大学,1101-09,09,首选物理，再选化学,663,1987,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,1101,南京大学,1101-10,10,首选物理，再选化学,663,1987,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
2024,物理类,1101,南京大学,1101-11,11,首选物理，再选化学,647,5643,https://www.jseea.cn/webfile/upload/2024/07-18/11-00-490856-746889704.xls
