major_name,major_code,discipline_category,major_category,length,degree,popular_value,fresh_salary,top_city,top_position,top_industry,subject_suggestion,summary,learn_what,career_direction,source_url
计算机科学与技术,080901,工学,计算机类,四年,理学学士、工学学士,5769535,7200,北京市,后端开发,IT软件,物理+化学 / 物理+化学+生物,本专业培养具有良好的科学素养，系统地、较好地掌握计算机科学与技术包括计算机硬件、软件与应用的基本理论、基本知识和基本技能与方法，能在科研部门、教育单位、企业、事业、技术和行政管理部门等单位从事计算机教学、科学研究和应用的计算机科学与技术学科的高级专门科学技术人才；要求学生掌握计算机科学与技术方面的基本理论和基本知识，接受从事研究与应用计算机的基本训练，具有研究和开发计算机系统的基本能力。,《C++程序设计》、《Java语言程序设计》、《数据库系统原理》、《计算机网络原理》、《计算机系统结构》、《数据结构》、《操作系统》、《软件工程》、《离散数学》 部分高校按以下专业方向培养：NET、JAVA、大数据、云计算、软件工程、金融信息化、嵌入式软件、传媒设计与制作、计算机网络技术、移动互联网信息与技术。,软件工程师，公务员(中央国家机关)，公务员(省级机关)，公务员(地市级机关)，公务员(区县级及以下机关)，事业单位人员，IT项目经理/主管，IT技术支持/维护工程师，银行会计/柜员，软件测试，大学教师，网页(WEB)前端开发工程师,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E8%AE%A1%E7%AE%97%E6%9C%BA%E7%A7%91%E5%AD%A6%E4%B8%8E%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
软件工程,080902,工学,计算机类,四年,工学学士,4092846,7800,北京市,后端开发,IT软件,物理+化学 / 物理+化学+生物,软件工程是研究大规模软件开发方法、工具和管理的一门工程科学，其特点是按工程化的原则和方法来组织和规范软件开发过程，软件工程技术则主要研究与软件开发各个工作流程相关的、先进实用的软件开发方法、技术和工具；软件工程技术专业面向国民经济电子信息化建设和发展的需要，培养具有扎实的软件理论和知识基础，对整个软件过程有整体了解、掌握软件工程领域的前沿技术，具有国际竞争能力，能从事大型软件项目系统分析、设计、编程、测试和软件项目管理等工作的复合型、实用型的高层次软件工程技术人才；主要涵盖软件工程学科和计算机学科的基本理论、基础知识、基本技能的研究，软件的分析与开发，计算机应用系统、计算机网络系统的设计与开发等专业内容。,《C/C++程序设计》、《Java语言程序设计》、《软件工程》、《电路与模拟电子技术》、《Linux操作系统与网络编程》、《WEB技术与应用》、《数据结构与算法》、《数据库开发技术》、《算法分析》、《人工智能技术》 部分高校按以下专业方向培养：JAVA、大数据、云计算、软件设计、数字媒体、金融软件开发、嵌入式应用开发、软件开发与测试、移动互联网开发、移动设备应用开发。,软件工程师，公务员(中央国家机关)，公务员(省级机关)，公务员(地市级机关)，公务员(区县级及以下机关)，IT技术支持/维护工程师，手机软件开发工程师，考研，软件测试，银行会计/柜员，事业单位人员,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E8%BD%AF%E4%BB%B6%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
数字媒体技术,080906,工学,计算机类,四年,工学学士,1848470,7800,华东地区,视觉/交互设计,互联网,物理 / 物理+化学,本专业培养具有扎实的自然科学和外语基础知识，掌握虚拟现实、计算机动画、互动媒体、影视编辑、网络游戏、手机游戏等数字媒体相关的基本理论与方法，具有一定的艺术修养，能综合运用所学知识与技能去分析、设计、制造数字媒体产品的复合型高级技术应用人才；学生主要学习数字信息处理与传播、数字媒体设计和开发等方面的专业知识，熟悉信息传播理论、数字出版流程和数字媒体艺术设计，接受软件工程和数字媒体技术实践的基本训练，未来能够在虚拟现实、互动新媒体、影视动画、游戏设计、手机应用、平面媒体、网络媒体等文化创意相关行业，从事各类数字媒体产品的设计、制作、开发、应用、运行管理等方面的工作。,《素描实习》、《游戏设计基础》、《计算机三维建模》、《网页制作与脚本编程》、《Flash编程技术》、《数字媒体后期制作》、《动画插件编程》、《动画渲染》、《计算机美术基础》、《计算机图形学原理》 部分高校按以下专业方向培养：游戏开发、移动媒体开发、游戏设计技术、动漫设计与制作、动漫与影视后期制作、数字影视动画技术与应用、虚拟现实及游戏开发技术。,软件工程师，事业单位人员，后期制作，公务员(中央国家机关)，公务员(省级机关)，网页设计/制作/美工，公务员(区县级及以下机关)，游戏设计/开发，考研，平面设计，公务员(地市级机关),https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%95%B0%E5%AD%97%E5%AA%92%E4%BD%93%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
物联网工程,080905,工学,计算机类,四年,工学学士,1401779,8400,深圳市,,,物理+化学,本专业学生主要学习计算机、电子、通信和自动化等相关学科的基本理论和基本知识；系统地掌握物联网技术领域的基本理论与基本知识、物联网体系结构、物联网感知与标识的基本理论与技术、物联网信息处理技术和物联网安全技术等专业知识，掌握物联网系统的软硬件设计和开发能力，具备在物联网系统及其应用方面进行综合研究、开发和集成的能力；未来可从事物联网及互联网的协议标准与系统、通信架构、无线传感器、信息安全等的综合设计、开发、应用、管理与维护工作，或可继续深造，在高校或科研机构从事研究和教学工作。,《嵌入式原理及应用》、《无线传感器网络》、《汇编语言与微机原理》、《传感器微操作系统原理与设计》、《应用密码学》、《光电子物理基础》、《模拟电子技术》、《数字建模》、《微处理器系统设计》、《物联网信息处理技术》 部分高校按以下专业方向培养：电商物联网、移动嵌入式、智能机器人、物联网大数据采集与分析。,手机软件开发工程师，IT技术支持/维护工程师，手机软件开发工程师，高中教师，考研,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%89%A9%E8%81%94%E7%BD%91%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
数据科学与大数据技术,080910T,工学,计算机类,四年,理学学士、工学学士,1132456,,,,,物理+化学 / 物理+化学+生物,数据科学与大数据技术主要研究计算机科学和大数据处理技术等相关的知识和技能，从大数据应用的三个主要层面（即数据管理、系统开发、海量数据分析与挖掘）出发，对实际问题进行分析和解决。例如：今日头条通过算法匹配个人更偏爱的信息内容，淘宝根据消费者日常购买行为等数据进行商品推荐，电子地图根据过往交通情况数据为车辆规划最优路线等。 关键词：大数据 分析 算法 匹配。,《数据结构》、《数据库原理与应用》、《计算机操作系统》、《计算机网络》、《Java语言程序设计》、《Python语言程序设计》、《大数据算法》、《人工智能》、《数据建模》、《大数据平台核心技术》。,IT类企业：大数据技术、大数据研究、数据管理、数据挖掘、算法工程、应用开发。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%95%B0%E6%8D%AE%E7%A7%91%E5%AD%A6%E4%B8%8E%E5%A4%A7%E6%95%B0%E6%8D%AE%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
信息安全,080904K,工学,计算机类,四年,理学学士、工学学士、管理学学士,1113255,8200,北京市,后端开发,IT软件,物理+化学 / 物理+化学+生物,本专业是计算机、通信、数学、法律、管理等学科的交叉学科，主要研究确保信息安全的科学与技术，培养能够从事计算机、通信、电子商务、电子政务、电子金融等领域的信息安全高级专门人才。本专业以信息、信息过程和信息系统的基本理论为基础，着重学习通信、编码、信息网络与系统、信息与安全保密、信息对抗等基本理论、基本原理和技术，学习在信息、信息过程和信息系统等方面进行信息安全与保密的关键技术的研究方法，典型设备、部件的分析、设计、研究、开发的方法和能力。,《模拟电路基础》、《密码学导论》、《计算机系统与网络安全技术》、《网络协议工程》、《网络防御与对抗》、《Linux 实践及应用》、《Python程序设计与应用实战》、《PKI原理与技术》、《操作系统及安全》、《Internet安全协议与分析》 部分高校按以下专业方向培养：保密。,软件工程师，公务员(中央国家机关)，公务员(省级机关)，公务员(地市级机关)，公务员(区县级及以下机关)，软件测试，警察，网络与信息安全工程师，IT技术支持/维护工程师，参军，事业单位人员,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E4%BF%A1%E6%81%AF%E5%AE%89%E5%85%A8%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
网络工程,080903,工学,计算机类,四年,工学学士,1010797,7900,北京市,技术支持,IT软件,物理+化学 / 物理+化学+生物,本专业培养学生系统地掌握计算机网和通信网技术领域的基本理论、基本知识；掌握各类网络系统的组网、规划、设计、评价的理论、方法与技术；获得计算机软硬件和网络与通信系统的设计、开发及应用方面良好的工程实践训练，特别是能获得较大型网络工程开发的初步训练。专业主干学科为计算机科学与技术、信息与通信工程；学生系统学习电路与电子学基础、离散数学、数字逻辑与数字系统、网络技术导论、算法与数据结构、计算机组成原理、通信原理、操作系统、计算机网络、现代交换原理、数据库系统原理等课程。,《电磁场与电磁波技术》、《模拟电路基础》、《Internet应用技术》、《局域网技术与组网工程》、《Web与数据库应用》、《通信网络理论》、《网络安全与信息加密技术》、《网络工程与网络管理》、《网络监控与管理》、《网络协议栈分析与设计》 部分高校按以下专业方向培养：物联网、铁道信号、智慧城市、渗透与测试、网络安全与攻防、网络工程与管理、移动互联网开发、云计算与大数据、网络系统开发与管理、网络系统集成与网络安全。,软件工程师，公务员(中央国家机关)，公务员(省级机关)，公务员(地市级机关)，公务员(区县级及以下机关)，考研，网络工程师，IT技术支持/维护工程师，银行会计/柜员，通信技术工程师，事业单位人员,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%BD%91%E7%BB%9C%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
电子与计算机工程,080909T,工学,计算机类,四年,工学学士,958806,7700,北京市,,,物理+化学,本专业是电子信息科学技术领域的宽口径专业，以计算机科学技术、通信工程、电子科学与技术为主干学科。所培养的学生具有扎实的自然科学基础，良好的外语水平，获得科学的、创造性的思维方法及独立从事科学研究能力的基本训练；掌握电子、通信计算机方面的学科基础知识；能从事信息的获取、处理、传输、变换技术、微电子设备的设计与计算机应用系统、电子信息系统的设计、制造、应用和开发的高级工程技术人才。,《固体物理学》、《材料机械性能》、《单片集成放大器电路设计》、《电路设计导论》、《多核计算与并行处理》、《工程概率方法》、《工程优化》、《基于微处理器的系统设计》、《控制系统分析与设计》、《数字通信信号与系统》。,IT类企业：电子系统的开发设计、智能设备的软硬件开发、技术支持、软件测试、技术管理； 电子类企业：电子技术、IC设计、工艺控制、电气工程； 政府、事业类单位：电子信息系统的维护管理。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%94%B5%E5%AD%90%E4%B8%8E%E8%AE%A1%E7%AE%97%E6%9C%BA%E5%B7%A5%E7%A8%8B%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
智能科学与技术,080907T,工学,计算机类,四年,理学学士、工学学士,648820,6300,北京市,后端开发,IT软件,物理+化学 / 物理+化学+生物,该专业以光、机、电系统的单元设计、总体集成及工程实现的理论、技术与方法为主要内容，培养具备基于计算机技术、自动控制技术、智能系统方法、传感信息处理等科学与技术，进行信息获取、传输、处理、优化、控制、组织等并完成系统集成的，具有相应工程实施能力，具备在相应领域从事智能技术与工程的科研、开发、管理工作的、具有宽口径知识和较强适应能力及现代科学创新意识的高级技术人才。,《软件开发技术》、《数据结构与算法》、《自然语言处理中的经验性方法》、《机器视觉技术》、《智能控制与智能计算》、《智能信息网络原理》、《Linux内核分析》、《计算机网络与WEB技术》、《数据分析基础》、《面向对象程序设计与实践》。,通信技术工程师，集成电路IC设计/应用工程师，供应链管理，软件工程师，公务员(地市级机关)，公务员(区县级及以下机关)，公务员(省级机关)，公务员(中央国家机关)，事业单位人员，市场营销专员/助理,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E6%99%BA%E8%83%BD%E7%A7%91%E5%AD%A6%E4%B8%8E%E6%8A%80%E6%9C%AF%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
网络空间安全,080911TK,工学,计算机类,四年,工学学士,470510,,,,,物理+化学,网络空间安全主要研究网络空间的组成、形态、安全、管理等，进行网络空间相关的软硬件开发、系统设计与分析、网络空间安全规划管理等。例如：网络犯罪的预防，国家网络安全的维护，杀毒软件等安全产品的研发，网络世界的监管等。 关键词：网络 国家安全 网络犯罪 反黑客。,《计算机网络》、《信息安全数学基础》、《密码学》、《操作系统原理及安全》、《网络安全》、《通信原理》、《可信计算技术》、《云计算和大数据安全》、《电子商务和电子政务安全》、《网络舆情分析》。,IT类企业：网络安全、安全产品的研发、技术开发、运维工程、安全管理、安全防护； 政府、事业类单位：安全规划、安全管理、安全防御、舆情监管、网络犯罪防范。,https://p.qianwen.com/major/tab?app=index&collegesTab=allColleges&webCompassApp=true&q=%E7%BD%91%E7%BB%9C%E7%A9%BA%E9%97%B4%E5%AE%89%E5%85%A8%E4%B8%93%E4%B8%9A&entry=gaokao_channel&device=pc
