province,school_name,major_name,normalized_major_name,level,requirement_type,requirement_subjects,requirement_text
北京,北京大学,文科试验班类,文科试验班类,本科,NONE,[],不提科目要求
北京,北京大学,人文科学试验班,人文科学试验班,本科,NONE,[],不提科目要求
北京,北京大学,工科试验班类,工科试验班类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,理科试验班类,理科试验班类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,哲学类,哲学类,本科,NONE,[],不提科目要求
北京,北京大学,经济学类,经济学类,本科,NONE,[],不提科目要求
北京,北京大学,法学,法学,本科,NONE,[],不提科目要求
北京,北京大学,国际政治,国际政治,本科,ALL_REQUIRED,"[""思想政治""]",思想政治(1门科目考生必须选考方可报考)
北京,北京大学,社会学类,社会学类,本科,NONE,[],不提科目要求
北京,北京大学,马克思主义理论类,马克思主义理论类,本科,ALL_REQUIRED,"[""思想政治""]",思想政治(1门科目考生必须选考方可报考)
北京,北京大学,中国语言文学类,中国语言文学类,本科,NONE,[],不提科目要求
北京,北京大学,英语,英语,本科,NONE,[],不提科目要求
北京,北京大学,俄语,俄语,本科,NONE,[],不提科目要求
北京,北京大学,德语,德语,本科,NONE,[],不提科目要求
北京,北京大学,法语,法语,本科,NONE,[],不提科目要求
北京,北京大学,西班牙语,西班牙语,本科,NONE,[],不提科目要求
北京,北京大学,江 阿拉伯语,江阿拉伯语,本科,NONE,[],不提科目要求
北京,北京大学,日语,日语,本科,NONE,[],不提科目要求
北京,北京大学,波斯语,波斯语,本科,NONE,[],不提科目要求
北京,北京大学,浙 朝鲜语,浙朝鲜语,本科,NONE,[],不提科目要求
北京,北京大学,菲律宾语,菲律宾语,本科,NONE,[],不提科目要求
北京,北京大学,梵语巴利语,梵语巴利语,本科,NONE,[],不提科目要求
北京,北京大学,印度尼西亚语,印度尼西亚语,本科,NONE,[],不提科目要求
北京,北京大学,印地语,印地语,本科,NONE,[],不提科目要求
北京,北京大学,缅甸语,缅甸语,本科,NONE,[],不提科目要求
北京,北京大学,蒙古语,蒙古语,本科,NONE,[],不提科目要求
北京,北京大学,泰语,泰语,本科,NONE,[],不提科目要求
北京,北京大学,乌尔都语,乌尔都语,本科,NONE,[],不提科目要求
北京,北京大学,希伯来语,希伯来语,本科,NONE,[],不提科目要求
北京,北京大学,越南语,越南语,本科,NONE,[],不提科目要求
北京,北京大学,葡萄牙语,葡萄牙语,本科,NONE,[],不提科目要求
北京,北京大学,意大利语,意大利语,本科,NONE,[],不提科目要求
北京,北京大学,新闻传播学类,新闻传播学类,本科,NONE,[],不提科目要求
北京,北京大学,历史学类,历史学类,本科,NONE,[],不提科目要求
北京,北京大学,考古学,考古学,本科,NONE,[],不提科目要求
北京,北京大学,文物保护技术,文物保护技术,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,数学类,数学类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,物理学类,物理学类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,化学类,化学类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,天文学（天体物理、天文高新技 术和应用）,天文学,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,地球物理学类,地球物理学类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,地质学类,地质学类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,生物科学类,生物科学类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,江 心理学类,江心理学类,本科,NONE,[],不提科目要求
北京,北京大学,力学类,力学类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,浙 电子信息类,浙电子信息类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,计算机类,计算机类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,环境科学与工程类,环境科学与工程类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,环境科学（环境、健康、生态、 地理与资源环境）,环境科学,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,北京大学,城乡规划,城乡规划,本科,NONE,[],不提科目要求
北京,北京大学,工商管理类,工商管理类,本科,NONE,[],不提科目要求
北京,北京大学,公共管理类,公共管理类,本科,NONE,[],不提科目要求
北京,中国人民大学,社会科学试验班（管理学科类）,社会科学试验班,本科,NONE,[],不提科目要求
北京,中国人民大学,人文科学试验班,人文科学试验班,本科,NONE,[],不提科目要求
北京,中国人民大学,理科试验班类（基础学科类）,理科试验班类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,中国人民大学,理科试验班,理科试验班,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,中国人民大学,哲学,哲学,本科,NONE,[],不提科目要求
北京,中国人民大学,经济学类,经济学类,本科,NONE,[],不提科目要求
北京,中国人民大学,财政学类,财政学类,本科,NONE,[],不提科目要求
北京,中国人民大学,金融学类,金融学类,本科,NONE,[],不提科目要求
北京,中国人民大学,法学,法学,本科,NONE,[],不提科目要求
北京,中国人民大学,国际政治,国际政治,本科,ALL_REQUIRED,"[""思想政治""]",思想政治(1门科目考生必须选考方可报考)
北京,中国人民大学,社会学类,社会学类,本科,NONE,[],不提科目要求
北京,中国人民大学,中国共产党历史,中国共产党历史,本科,ALL_REQUIRED,"[""思想政治""]",思想政治(1门科目考生必须选考方可报考)
北京,中国人民大学,马克思主义理论,马克思主义理论,本科,ALL_REQUIRED,"[""思想政治""]",思想政治(1门科目考生必须选考方可报考)
北京,中国人民大学,江 汉语言文学（古文字学方向）,江汉语言文学,本科,NONE,[],不提科目要求
北京,中国人民大学,外国语言文学类,外国语言文学类,本科,NONE,[],不提科目要求
北京,中国人民大学,浙 新闻传播学类,浙新闻传播学类,本科,NONE,[],不提科目要求
北京,中国人民大学,历史学,历史学,本科,NONE,[],不提科目要求
北京,中国人民大学,工商管理类,工商管理类,本科,NONE,[],不提科目要求
北京,中国人民大学,人力资源管理,人力资源管理,本科,NONE,[],不提科目要求
北京,中国人民大学,音乐表演,音乐表演,本科,NONE,[],不提科目要求
北京,中国人民大学,美术学,美术学,本科,NONE,[],不提科目要求
北京,中国人民大学,绘画,绘画,本科,NONE,[],不提科目要求
北京,中国人民大学,设计学类,设计学类,本科,NONE,[],不提科目要求
北京,清华大学,文科试验班类（经济、金融与管 理）,文科试验班类,本科,NONE,[],不提科目要求
北京,清华大学,文科试验班类（通用基础类）,文科试验班类,本科,NONE,[],不提科目要求
北京,清华大学,文科试验班类（新雅书院）,文科试验班类,本科,NONE,[],不提科目要求
北京,清华大学,社会科学试验班,社会科学试验班,本科,NONE,[],不提科目要求
北京,清华大学,工科试验班（环境、化工与新材 料类）,工科试验班,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,工科试验班（机械、航空与动力 类）,工科试验班,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,工科试验班（能源与电气类）,工科试验班,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,理科试验班类（新雅书院）,理科试验班类,本科,ALL_REQUIRED,"[""物理""]",物理(1门科目考生必须选考方可报考)
北京,清华大学,理科试验班类（经济、金融与管 理）,理科试验班类,本科,ALL_REQUIRED,"[""物理""]",物理(1门科目考生必须选考方可报考)
北京,清华大学,理科试验班类（社会科学）,理科试验班类,本科,ALL_REQUIRED,"[""物理""]",物理(1门科目考生必须选考方可报考)
北京,清华大学,理科试验班类（物理基础类）,理科试验班类,本科,ALL_REQUIRED,"[""物理""]",物理(1门科目考生必须选考方可报考)
北京,清华大学,理科试验班（物化基础类）,理科试验班,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,理科试验班（数理类）,理科试验班,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,江 理科试验班（化生类）,江理科试验班,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,哲学类（日新书院）,哲学类,本科,NONE,[],不提科目要求
北京,清华大学,浙 法学类,浙法学类,本科,NONE,[],不提科目要求
北京,清华大学,中国语言文学类（日新书院）,中国语言文学类,本科,NONE,[],不提科目要求
北京,清华大学,英语,英语,本科,NONE,[],不提科目要求
北京,清华大学,英语（世界文学与文化实验班）,英语,本科,NONE,[],不提科目要求
北京,清华大学,日语,日语,本科,NONE,[],不提科目要求
北京,清华大学,历史学类（日新书院）,历史学类,本科,NONE,[],不提科目要求
北京,清华大学,数学与应用数学（致理书院）,数学与应用数学,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,信息与计算科学（致理书院）,信息与计算科学,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,数理基础科学（未央书院）,数理基础科学,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,物理学（致理书院）,物理学,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,化学（致理书院）,化学,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,化学生物学（探微书院）,化学生物学,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,生物科学（致理书院）,生物科学,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,理论与应用力学（行健书院）,理论与应用力学,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,电子信息类,电子信息类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
北京,清华大学,自动化类,自动化类,本科,ALL_REQUIRED,"[""物理"", ""化学""]","物理,化学(2门科目考生均须选考方可报考)"
